researcher_id,year,selected,category,note
R001,2024,False,,
R001,2025,False,,
R001,2026,False,,
R002,2024,False,,
R002,2025,True,우수연구원,인센티브 지급
R002,2026,True,최우수연구원,인센티브 지급
R003,2024,False,,
R003,2025,False,,
R003,2026,False,,
R004,2024,False,,
R004,2025,True,우수연구원,인센티브 지급
R004,2026,False,,
R005,2024,False,,
R005,2025,False,,
R005,2026,False,,
R006,2024,False,,
R006,2025,False,,
R006,2026,False,,
R007,2024,False,,
R007,2025,True,우수연구원,인센티브 지급
R007,2026,True,우수연구원,인센티브 지급
R008,2024,True,우수연구원,인센티브 지급
R008,2025,False,,
R008,2026,False,,
R009,2024,False,,
R009,2025,False,,
R009,2026,False,,
R010,2024,False,,
R010,2025,False,,
R010,2026,False,,
R011,2024,True,최우수연구원,인센티브 지급
R011,2025,True,최우수연구원,인센티브 지급
R011,2026,True,최우수연구원,인센티브 지급
R012,2024,False,,
R012,2025,False,,
R012,2026,False,,
R013,2024,False,,
R013,2025,True,우수연구원,인센티브 지급
R013,2026,False,,
R014,2024,False,,
R014,2025,False,,
R014,2026,False,,
R015,2024,False,,
R015,2025,True,우수연구원,인센티브 지급
R015,2026,True,최우수연구원,인센티브 지급
R016,2024,False,,
R016,2025,True,우수연구원,인센티브 지급
R016,2026,True,최우수연구원,인센티브 지급
R017,2024,True,최우수연구원,인센티브 지급
R017,2025,False,,
R017,2026,True,우수연구원,인센티브 지급
R018,2024,True,우수연구원,인센티브 지급
R018,2025,False,,
R018,2026,False,,
R019,2024,False,,
R019,2025,True,최우수연구원,인센티브 지급
R019,2026,True,최우수연구원,인센티브 지급
R020,2024,False,,
R020,2025,False,,
R020,2026,False,,
R021,2024,True,최우수연구원,인센티브 지급
R021,2025,True,우수연구원,인센티브 지급
R021,2026,False,,
R022,2024,True,최우수연구원,인센티브 지급
R022,2025,True,최우수연구원,인센티브 지급
R022,2026,True,최우수연구원,인센티브 지급
R023,2024,True,최우수연구원,인센티브 지급
R023,2025,True,최우수연구원,인센티브 지급
R023,2026,True,최우수연구원,인센티브 지급
R024,2024,False,,
R024,2025,False,,
R024,2026,False,,
R025,2024,False,,
R025,2025,False,,
R025,2026,False,,
R026,2024,True,최우수연구원,인센티브 지급
R026,2025,True,최우수연구원,인센티브 지급
R026,2026,True,최우수연구원,인센티브 지급
R027,2024,False,,
R027,2025,False,,
R027,2026,False,,
R028,2024,False,,
R028,2025,False,,
R028,2026,False,,
R029,2024,False,,
R029,2025,False,,
R029,2026,False,,
R030,2024,True,최우수연구원,인센티브 지급
R030,2025,True,최우수연구원,인센티브 지급
R030,2026,True,최우수연구원,인센티브 지급
R031,2024,False,,
R031,2025,True,우수연구원,인센티브 지급
R031,2026,False,,
R032,2024,False,,
R032,2025,False,,
R032,2026,True,최우수연구원,인센티브 지급
R033,2024,False,,
R033,2025,False,,
R033,2026,False,,
R034,2024,False,,
R034,2025,False,,
R034,2026,False,,
R035,2024,False,,
R035,2025,False,,
R035,2026,False,,
R036,2024,False,,
R036,2025,False,,
R036,2026,True,우수연구원,인센티브 지급
R037,2024,False,,
R037,2025,True,우수연구원,인센티브 지급
R037,2026,True,최우수연구원,인센티브 지급
R038,2024,False,,
R038,2025,False,,
R038,2026,False,,
R039,2024,False,,
R039,2025,False,,
R039,2026,False,,
R040,2024,False,,
R040,2025,False,,
R040,2026,True,우수연구원,인센티브 지급
R041,2024,True,우수연구원,인센티브 지급
R041,2025,False,,
R041,2026,False,,
R042,2024,False,,
R042,2025,False,,
R042,2026,False,,
R043,2024,True,우수연구원,인센티브 지급
R043,2025,True,최우수연구원,인센티브 지급
R043,2026,True,우수연구원,인센티브 지급
R044,2024,False,,
R044,2025,False,,
R044,2026,False,,
R045,2024,False,,
R045,2025,False,,
R045,2026,False,,
R046,2024,True,우수연구원,인센티브 지급
R046,2025,False,,
R046,2026,False,,
R047,2024,False,,
R047,2025,False,,
R047,2026,False,,
R048,2024,False,,
R048,2025,False,,
R048,2026,False,,
R049,2024,False,,
R049,2025,False,,
R049,2026,False,,
R050,2024,True,우수연구원,인센티브 지급
R050,2025,True,우수연구원,인센티브 지급
R050,2026,True,우수연구원,인센티브 지급
