"researcher_id","year","overall_score","vision","communication","execution","collaboration","development"
"00000001",2022,82.4,79,88,82,93,70
"00000001",2023,86.4,84,93,85,98,72
"00000001",2024,88.8,88,97,85,99,75
"00000002",2022,75.2,90,71,60,81,74
"00000002",2023,74.2,86,67,64,79,75
"00000002",2024,75.4,86,70,68,75,78
"00000003",2022,74.8,90,73,51,86,74
"00000003",2023,76.6,89,75,55,88,76
"00000003",2024,76.6,88,73,57,90,75
"00000004",2022,76.0,76,60,82,74,88
"00000004",2023,74.8,78,59,79,72,86
"00000004",2024,76.4,78,56,82,77,89
"00000005",2022,69.6,70,82,71,71,54
"00000005",2023,69.2,67,82,71,69,57
"00000005",2024,66.4,63,81,68,67,53
"00000006",2022,77.8,89,69,79,77,75
"00000006",2023,76.4,86,67,75,77,77
"00000006",2024,76.6,83,71,78,75,76
"00000007",2022,67.2,73,82,54,58,69
"00000007",2023,68.4,76,79,58,57,72
"00000007",2024,67.8,78,79,59,55,68
"00000008",2022,78.2,90,87,63,67,84
"00000008",2023,77.2,87,86,65,68,80
"00000008",2024,77.6,85,86,70,65,82
"00000009",2022,71.8,75,53,58,89,84
"00000009",2023,72.6,73,56,55,94,85
"00000009",2024,71.6,69,52,56,92,89
"00000010",2022,71.4,65,64,89,68,71
"00000010",2023,70.8,67,65,87,68,67
"00000010",2024,73.6,70,68,91,68,71
"00000011",2022,81.8,87,68,94,66,94
"00000011",2023,82.0,91,66,91,70,92
"00000011",2024,83.6,94,66,91,74,93
"00000012",2022,75.4,80,60,88,84,65
"00000012",2023,76.0,81,57,92,86,64
"00000012",2024,78.8,85,60,96,84,69
"00000013",2022,71.6,70,79,78,71,60
"00000013",2023,70.2,68,75,77,68,63
"00000013",2024,70.0,67,72,73,73,65
"00000014",2022,78.6,87,87,97,68,54
"00000014",2023,78.2,86,90,94,71,50
"00000014",2024,79.0,87,94,96,72,46
"00000015",2022,68.8,69,87,61,56,71
"00000015",2023,69.4,68,91,63,55,70
"00000015",2024,71.4,72,90,68,53,74
"00000016",2022,79.6,93,83,58,89,75
"00000016",2023,81.4,97,85,62,90,73
"00000016",2024,84.0,100,90,65,91,74
"00000017",2022,84.0,91,80,77,86,86
"00000017",2023,85.2,90,82,81,86,87
"00000017",2024,85.2,93,85,83,82,83
"00000018",2022,69.8,69,56,87,62,75
"00000018",2023,71.4,65,56,91,66,79
"00000018",2024,71.6,70,61,89,63,75
"00000019",2022,72.6,85,82,63,62,71
"00000019",2023,74.4,85,79,68,64,76
"00000019",2024,74.0,84,76,69,67,74
"00000020",2022,74.0,91,93,58,70,58
"00000020",2023,74.2,92,95,60,67,57
"00000020",2024,74.0,97,91,62,63,57
"00000021",2022,80.0,86,58,79,88,89
"00000021",2023,82.2,82,60,82,93,94
"00000021",2024,82.6,86,57,81,95,94
"00000022",2022,70.6,83,69,59,80,62
"00000022",2023,71.6,83,66,61,84,64
"00000022",2024,72.0,81,64,64,88,63
"00000023",2022,83.6,91,84,90,66,87
"00000023",2023,84.6,91,86,91,71,84
"00000023",2024,85.2,88,88,93,72,85
"00000024",2022,72.2,65,76,82,59,79
"00000024",2023,71.2,63,79,78,58,78
"00000024",2024,69.0,64,77,75,55,74
"00000025",2022,67.4,67,64,76,58,72
"00000025",2023,67.8,68,63,80,57,71
"00000025",2024,70.8,72,67,80,61,74
"00000026",2022,73.8,60,56,77,88,88
"00000026",2023,74.4,59,61,77,84,91
"00000026",2024,73.6,55,58,79,84,92
"00000027",2022,69.0,63,60,70,80,72
"00000027",2023,69.6,68,64,67,78,71
"00000027",2024,70.2,72,67,71,74,67
"00000028",2022,78.4,72,86,70,77,87
"00000028",2023,79.2,73,86,69,81,87
"00000028",2024,78.8,69,86,71,77,91
"00000029",2022,73.4,70,66,66,80,85
"00000029",2023,74.0,69,68,65,85,83
"00000029",2024,76.2,71,68,70,86,86
"00000030",2022,76.0,93,62,66,63,96
"00000030",2023,76.2,91,64,64,68,94
"00000030",2024,76.8,92,61,68,72,91
"00000031",2022,68.6,68,77,64,59,75
"00000031",2023,66.6,66,76,61,57,73
"00000031",2024,68.8,62,81,66,57,78
"00000032",2022,71.4,92,66,72,67,60
"00000032",2023,73.2,97,69,73,65,62
"00000032",2024,73.4,100,72,71,63,61
"00000033",2022,66.0,71,56,80,54,69
"00000033",2023,68.0,69,59,85,57,70
"00000033",2024,68.4,72,58,87,59,66
"00000034",2022,83.6,83,71,84,88,92
"00000034",2023,84.8,86,67,83,92,96
"00000034",2024,86.4,88,63,87,94,100
"00000035",2022,72.8,58,67,76,81,82
"00000035",2023,73.4,58,72,72,85,80
"00000035",2024,74.2,61,75,69,89,77
"00000036",2022,78.0,68,93,92,59,78
"00000036",2023,79.4,71,98,91,62,75
"00000036",2024,78.0,71,99,89,59,72
"00000037",2022,76.4,64,87,83,58,90
"00000037",2023,76.6,68,89,79,56,91
"00000037",2024,76.0,73,87,77,54,89
"00000038",2022,72.4,58,79,71,72,82
"00000038",2023,72.4,54,84,71,68,85
"00000038",2024,74.6,57,87,75,64,90
"00000039",2022,82.2,89,72,71,89,90
"00000039",2023,83.0,94,68,70,93,90
"00000039",2024,83.4,99,72,69,89,88
"00000040",2022,65.4,60,63,82,57,65
"00000040",2023,63.4,57,59,79,59,63
"00000040",2024,66.0,55,59,84,64,68
"00000041",2022,81.0,86,63,84,93,79
"00000041",2023,81.4,88,60,86,97,76
"00000041",2024,81.0,88,63,84,94,76
"00000042",2022,80.6,75,93,77,85,73
"00000042",2023,82.4,79,90,80,90,73
"00000042",2024,84.8,81,95,81,90,77
"00000043",2022,84.2,95,80,66,89,91
"00000043",2023,82.4,94,80,65,85,88
"00000043",2024,82.4,90,83,62,84,93
"00000044",2022,74.0,85,80,53,75,77
"00000044",2023,74.2,85,77,53,75,81
"00000044",2024,74.0,89,78,49,72,82
"00000045",2022,75.2,75,81,92,59,69
"00000045",2023,74.8,71,79,95,57,72
"00000045",2024,76.0,75,80,98,59,68
"00000046",2022,84.6,92,70,90,80,91
"00000046",2023,83.0,93,67,88,80,87
"00000046",2024,85.0,94,69,92,78,92
"00000047",2022,70.8,75,66,64,71,78
"00000047",2023,71.2,74,67,67,71,77
"00000047",2024,71.2,78,67,65,68,78
"00000048",2022,70.8,53,70,64,81,86
"00000048",2023,72.6,54,73,68,81,87
"00000048",2024,71.8,52,70,72,79,86
"00000049",2022,72.8,53,84,75,93,59
"00000049",2023,73.0,54,87,71,90,63
"00000049",2024,73.0,54,83,76,90,62
"00000050",2022,71.8,79,68,70,70,72
"00000050",2023,69.6,77,66,70,67,68
"00000050",2024,71.4,82,70,74,64,67
