대분류코드,대분류코드명,중분류코드,중분류코드명,소분류코드,소분류코드명
EA,기계,EA01,측정표준/시험평가기술,EA0101,물리/기계 측정표준
EA,기계,EA01,측정표준/시험평가기술,EA0102,전자기 측정표준
EA,기계,EA01,측정표준/시험평가기술,EA0103,광응용 측정표준
EA,기계,EA01,측정표준/시험평가기술,EA0104,삶의 질 측정표준
EA,기계,EA01,측정표준/시험평가기술,EA0105,융합기술 측정표준
EA,기계,EA01,측정표준/시험평가기술,EA0106,교정/시험평가
EA,기계,EA01,측정표준/시험평가기술,EA0107,인증 표준물질
EA,기계,EA01,측정표준/시험평가기술,EA0108,참조표준
EA,기계,EA01,측정표준/시험평가기술,EA0109,신뢰성/비파괴평가
EA,기계,EA01,측정표준/시험평가기술,EA0199,달리 분류되지 않는 측정표준/시험평가기술
EA,기계,EA02,생산기반기술,EA0201,생산관리기술
EA,기계,EA02,생산기반기술,EA0202,품질관리기술
EA,기계,EA02,생산기반기술,EA0203,물류시스템
EA,기계,EA02,생산기반기술,EA0204,산업정보화기술
EA,기계,EA02,생산기반기술,EA0205,인간공학기술
EA,기계,EA02,생산기반기술,EA0206,경제성공학기술
EA,기계,EA02,생산기반기술,EA0207,예측/시뮬레이션기술
EA,기계,EA02,생산기반기술,EA0208,컴퓨터통합생산시스템
EA,기계,EA02,생산기반기술,EA0209,최적화기술
EA,기계,EA02,생산기반기술,EA0210,설계방법기술
EA,기계,EA02,생산기반기술,EA0299,달리 분류되지 않는 생산기반기술
EA,기계,EA03,요소부품,EA0301,체결용 요소부품
EA,기계,EA03,요소부품,EA0302,전동용 요소부품
EA,기계,EA03,요소부품,EA0303,완충/제동용 요소부품
EA,기계,EA03,요소부품,EA0304,회전축용 요소부품
EA,기계,EA03,요소부품,EA0305,배관용 요소부품
EA,기계,EA03,요소부품,EA0306,유공압 부품
EA,기계,EA03,요소부품,EA0307,액츄에이터
EA,기계,EA03,요소부품,EA0308,절삭/연삭공구
EA,기계,EA03,요소부품,EA0309,치공구
EA,기계,EA03,요소부품,EA0310,금형
EA,기계,EA03,요소부품,EA0311,요소부품 관련 S/W
EA,기계,EA03,요소부품,EA0399,달리 분류되지 않는 요소부품
EA,기계,EA04,정밀생산기계,EA0401,절삭 가공기계
EA,기계,EA04,정밀생산기계,EA0402,연삭/연마 가공기계
EA,기계,EA04,정밀생산기계,EA0403,광에너지 응용 가공기계
EA,기계,EA04,정밀생산기계,EA0404,전기/화학에너지 응용 가공기계
EA,기계,EA04,정밀생산기계,EA0405,수치제어장치
EA,기계,EA04,정밀생산기계,EA0406,프레스기계
EA,기계,EA04,정밀생산기계,EA0407,사출기계
EA,기계,EA04,정밀생산기계,EA0408,CAD/CAM 관련 S/W
EA,기계,EA04,정밀생산기계,EA0409,적층제조기계
EA,기계,EA04,정밀생산기계,EA0499,달리 분류되지 않는 정밀생산기계
EA,기계,EA05,로봇/자동화기계,EA0501,로봇 설계기술
EA,기계,EA05,로봇/자동화기계,EA0502,로봇 제어/지능화기술
EA,기계,EA05,로봇/자동화기계,EA0503,로봇 비전/생산자동화기술
EA,기계,EA05,로봇/자동화기계,EA0504,기계자동화기술
EA,기계,EA05,로봇/자동화기계,EA0505,조립/정밀 이송기술
EA,기계,EA05,로봇/자동화기계,EA0506,자동화 관련 계측/센서기술
EA,기계,EA05,로봇/자동화기계,EA0507,로봇/자동화기계 관련 S/W
EA,기계,EA05,로봇/자동화기계,EA0599,달리 분류되지 않는 로봇/자동화기계
EA,기계,EA06,나노/마이크로기계시스템,EA0601,나노마이크로센서
EA,기계,EA06,나노/마이크로기계시스템,EA0602,초소형 구동장치
EA,기계,EA06,나노/마이크로기계시스템,EA0603,초소형 디바이스
EA,기계,EA06,나노/마이크로기계시스템,EA0604,초소형 가공/조립/측정기술
EA,기계,EA06,나노/마이크로기계시스템,EA0605,시스템 특성분석/신뢰성 평가기술
EA,기계,EA06,나노/마이크로기계시스템,EA0606,시스템 집적화기술
EA,기계,EA06,나노/마이크로기계시스템,EA0607,시스템 통합화기술
EA,기계,EA06,나노/마이크로기계시스템,EA0608,나노 마이크로 기계시스템 관련 S/W
EA,기계,EA06,나노/마이크로기계시스템,EA0609,나노/마이크로 기계 소재 및 공정
EA,기계,EA06,나노/마이크로기계시스템,EA0699,달리 분류되지 않는 나노/마이크로 기계시스템
EA,기계,EA07,에너지/환경기계시스템,EA0701,공기조화/냉동기계
EA,기계,EA07,에너지/환경기계시스템,EA0702,보일러/로설비
EA,기계,EA07,에너지/환경기계시스템,EA0703,유체기계
EA,기계,EA07,에너지/환경기계시스템,EA0704,수처리설비
EA,기계,EA07,에너지/환경기계시스템,EA0705,대기오염방지설비
EA,기계,EA07,에너지/환경기계시스템,EA0706,건조/농축설비
EA,기계,EA07,에너지/환경기계시스템,EA0707,에너지/환경 제어설비
EA,기계,EA07,에너지/환경기계시스템,EA0708,지능형빌딩시스템(IBS)/가정자동화(HA) 시스템기술
EA,기계,EA07,에너지/환경기계시스템,EA0709,에너지/환경 기계시스템 관련 S/W
EA,기계,EA07,에너지/환경기계시스템,EA0799,달리 분류되지 않는 에너지/환경기계시스템
EA,기계,EA08,산업/일반기계,EA0801,인쇄/섬유기계
EA,기계,EA08,산업/일반기계,EA0802,식품포장기계
EA,기계,EA08,산업/일반기계,EA0803,건설/광산기계
EA,기계,EA08,산업/일반기계,EA0804,일반가공기계
EA,기계,EA08,산업/일반기계,EA0805,방재소방기계
EA,기계,EA08,산업/일반기계,EA0806,운송하역기계
EA,기계,EA08,산업/일반기계,EA0807,정보산업장비
EA,기계,EA08,산업/일반기계,EA0808,산업/일반기계 관련 S/W
EA,기계,EA08,산업/일반기계,EA0899,달리 분류되지 않는 산업/일반기계
EA,기계,EA09,자동차/철도차량,EA0901,엔진/동력전달장치
EA,기계,EA09,자동차/철도차량,EA0902,전기/전자장치
EA,기계,EA09,자동차/철도차량,EA0903,차체/경량화기술
EA,기계,EA09,자동차/철도차량,EA0904,공조기술
EA,기계,EA09,자동차/철도차량,EA0905,차량운동성능 및 진동/소음저감기술
EA,기계,EA09,자동차/철도차량,EA0906,안전도향상기술
EA,기계,EA09,자동차/철도차량,EA0907,차량지능화기술
EA,기계,EA09,자동차/철도차량,EA0908,철도차량 추진/제어기술
EA,기계,EA09,자동차/철도차량,EA0909,시스템제어/통합기술
EA,기계,EA09,자동차/철도차량,EA0910,저공해/대체에너지 차량기술
EA,기계,EA09,자동차/철도차량,EA0911,자동차/철도차량 관련 S/W
EA,기계,EA09,자동차/철도차량,EA0999,달리 분류되지 않는 자동차/철도차량
EA,기계,EA10,조선/해양시스템,EA1001,선박소재/구조기술
EA,기계,EA10,조선/해양시스템,EA1002,선형개발/성능해석기술
EA,기계,EA10,조선/해양시스템,EA1003,주기/보기 및 추진계통부품
EA,기계,EA10,조선/해양시스템,EA1004,갑판설비/항해통신장치
EA,기계,EA10,조선/해양시스템,EA1005,선박생산시스템/건조공법
EA,기계,EA10,조선/해양시스템,EA1006,해양구조물/설비기술
EA,기계,EA10,조선/해양시스템,EA1007,해양레저/탐사장비
EA,기계,EA10,조선/해양시스템,EA1008,해양환경/안전설비
